time,bpm_spectral,bpm_hrv,bpm_statistical
20:41:00,17.0,17.1,15.0
20:41:30,14.7,16.2,15.0
20:42:00,18.9,17.8,12.0
20:42:30,18.9,18.5,15.0
20:43:00,19.1,17.2,15.0
20:43:30,18.9,12.6,15.0
20:44:00,16.8,16.6,15.0
20:44:30,18.5,15.9,15.0
20:45:00,21.1,18.1,15.0
20:45:30,12.6,16.4,15.0
20:46:00,12.6,14.3,15.0
20:46:30,12.4,20.0,15.0
20:47:00,12.9,11.5,15.0
20:47:30,12.5,11.5,15.0
20:48:00,12.5,11.5,12.0
20:48:30,12.7,11.5,12.0
20:49:00,12.6,11.5,15.0
20:49:30,12.5,12.8,15.0
20:50:00,14.9,12.3,15.0
20:50:30,12.5,17.2,15.0
20:51:00,12.7,12.9,15.0
20:51:30,14.7,17.0,15.0
20:52:00,16.8,15.5,15.0
20:52:30,18.5,19.3,15.0
20:53:00,16.8,17.6,15.0
20:53:30,18.8,17.1,15.0
20:54:00,18.8,16.7,15.0
20:54:30,18.9,17.2,15.0
20:55:00,12.3,15.4,15.0
20:55:30,17.0,14.3,15.0
20:56:00,12.9,19.6,15.0
20:56:30,12.6,15.9,15.0
20:57:00,12.9,17.7,15.0
20:57:30,12.1,17.4,15.0
20:58:00,12.5,17.4,15.0
20:58:30,12.7,19.2,15.0
20:59:00,12.3,18.3,15.0
20:59:30,12.9,17.4,15.0
21:00:00,12.5,20.3,15.0
21:00:30,12.4,14.6,15.0
21:01:00,13.2,17.1,15.0
21:01:30,18.2,20.0,15.0
21:02:00,14.7,14.9,15.0
21:02:30,14.7,15.7,15.0
21:03:00,14.9,15.6,15.0
21:03:30,12.4,15.5,15.0
21:04:00,14.7,15.5,15.0
21:04:30,14.9,15.9,15.0
21:05:00,14.6,16.4,15.0
21:05:30,12.4,14.8,15.0
21:06:00,15.1,15.4,15.0
21:06:30,14.4,17.6,12.0
21:07:00,14.7,17.5,12.0
21:07:30,14.9,16.5,12.0
21:08:00,15.6,17.7,12.0
21:08:30,14.1,18.6,15.0
21:09:00,14.6,18.3,15.0
21:09:30,14.6,18.3,15.0
21:10:00,18.9,15.5,15.0
21:10:30,12.9,13.1,15.0
21:11:00,12.4,12.0,12.0
21:11:30,12.5,16.3,15.0
21:12:00,19.1,17.8,12.0
21:12:30,14.6,15.6,15.0
21:13:00,13.1,15.9,12.0
21:13:30,16.1,16.0,12.0
21:14:00,14.9,16.2,12.0
21:14:30,17.0,18.0,15.0
21:15:00,12.5,16.2,15.0
21:15:30,12.5,16.9,15.0
21:16:00,13.0,17.2,12.0
21:16:30,12.6,17.6,12.0
21:17:00,12.6,11.5,12.0
21:17:30,12.6,11.8,12.0
21:18:00,18.8,14.8,15.0
21:18:30,18.6,17.3,15.0
21:19:00,12.6,17.9,15.0
21:19:30,13.1,17.6,15.0
21:20:00,14.4,17.1,12.0
21:20:30,14.7,17.7,12.0
21:21:00,15.0,14.2,15.0
21:21:30,12.3,17.9,12.0
21:22:00,14.9,14.6,12.0
21:22:30,14.7,15.6,12.0
21:23:00,12.5,14.9,15.0
21:23:30,12.6,16.4,15.0
21:24:00,14.6,16.6,15.0
21:24:30,12.6,18.2,12.0
21:25:00,16.4,16.8,12.0
21:25:30,12.7,16.3,12.0
21:26:00,17.1,20.5,15.0
21:26:30,12.4,12.8,15.0
21:27:00,15.0,13.0,12.0
21:27:30,14.7,11.5,12.0
21:28:00,16.8,15.6,12.0
21:28:30,17.1,17.1,12.0
21:29:00,24.0,16.6,12.0
21:29:30,16.3,18.7,15.0
21:30:00,16.6,14.6,15.0
21:30:30,12.9,13.2,15.0
21:31:00,12.6,17.7,12.0
21:31:30,12.6,12.8,12.0
21:32:00,14.7,14.5,12.0
21:32:30,14.6,13.6,12.0
