time,bpm
20:41:00,17.0
20:41:30,14.7
20:42:00,18.9
20:42:30,18.9
20:43:00,19.1
20:43:30,18.9
20:44:00,16.8
20:44:30,18.5
20:45:00,21.1
20:45:30,12.6
20:46:00,12.6
20:46:30,12.4
20:47:00,12.9
20:47:30,12.5
20:48:00,12.5
20:48:30,12.7
20:49:00,12.6
20:49:30,12.5
20:50:00,14.9
20:50:30,12.5
20:51:00,12.7
20:51:30,14.7
20:52:00,16.8
20:52:30,18.5
20:53:00,16.8
20:53:30,18.8
20:54:00,18.8
20:54:30,18.9
20:55:00,12.3
20:55:30,17.0
20:56:00,12.9
20:56:30,12.6
20:57:00,12.9
20:57:30,12.1
20:58:00,12.5
20:58:30,12.7
20:59:00,12.3
20:59:30,12.9
21:00:00,12.5
21:00:30,12.4
21:01:00,13.2
21:01:30,18.2
21:02:00,14.7
21:02:30,14.7
21:03:00,14.9
21:03:30,12.4
21:04:00,14.7
21:04:30,14.9
21:05:00,14.6
21:05:30,12.4
21:06:00,15.1
21:06:30,14.4
21:07:00,14.7
21:07:30,14.9
21:08:00,15.6
21:08:30,14.1
21:09:00,14.6
21:09:30,14.6
21:10:00,18.9
21:10:30,12.9
21:11:00,12.4
21:11:30,12.5
21:12:00,19.1
21:12:30,14.6
21:13:00,13.1
21:13:30,16.1
21:14:00,14.9
21:14:30,17.0
21:15:00,12.5
21:15:30,12.5
21:16:00,13.0
21:16:30,12.6
21:17:00,12.6
21:17:30,12.6
21:18:00,18.8
21:18:30,18.6
21:19:00,12.6
21:19:30,13.1
21:20:00,14.4
21:20:30,14.7
21:21:00,15.0
21:21:30,12.3
21:22:00,14.9
21:22:30,14.7
21:23:00,12.5
21:23:30,12.6
21:24:00,14.6
21:24:30,12.6
21:25:00,16.4
21:25:30,12.7
21:26:00,17.1
21:26:30,12.4
21:27:00,15.0
21:27:30,14.7
21:28:00,16.8
21:28:30,17.1
21:29:00,24.0
21:29:30,16.3
21:30:00,16.6
21:30:30,12.9
21:31:00,12.6
21:31:30,12.6
21:32:00,14.7
21:32:30,14.6
