time,bpm
20:41:00,28.4
20:41:30,28.7
20:42:00,28.1
20:42:30,27.9
20:43:00,28.3
20:43:30,27.4
20:44:00,28.6
20:44:30,28.8
20:45:00,28.0
20:45:30,28.6
20:46:00,26.7
20:46:30,28.0
20:47:00,30.0
20:47:30,29.8
20:48:00,27.8
20:48:30,29.8
20:49:00,30.0
20:49:30,27.8
20:50:00,28.3
20:50:30,28.3
20:51:00,28.5
20:51:30,28.4
20:52:00,29.0
20:52:30,28.2
20:53:00,28.2
20:53:30,28.4
20:54:00,28.5
20:54:30,28.4
20:55:00,29.0
20:55:30,29.4
20:56:00,28.1
20:56:30,26.7
20:57:00,28.2
20:57:30,28.3
20:58:00,28.3
20:58:30,28.3
20:59:00,28.0
20:59:30,28.3
21:00:00,27.9
21:00:30,29.3
21:01:00,28.4
21:01:30,28.0
21:02:00,29.2
21:02:30,28.9
21:03:00,29.0
21:03:30,29.0
21:04:00,29.0
21:04:30,28.8
21:05:00,28.6
21:05:30,29.2
21:06:00,26.9
21:06:30,28.2
21:07:00,28.2
21:07:30,28.6
21:08:00,28.1
21:08:30,27.8
21:09:00,27.9
21:09:30,27.9
21:10:00,29.0
21:10:30,27.7
21:11:00,27.6
21:11:30,28.7
21:12:00,28.1
21:12:30,28.3
21:13:00,28.2
21:13:30,28.1
21:14:00,28.0
21:14:30,28.0
21:15:00,26.6
21:15:30,28.4
21:16:00,26.3
21:16:30,28.2
21:17:00,29.0
21:17:30,29.9
21:18:00,29.3
21:18:30,28.3
21:19:00,28.1
21:19:30,28.2
21:20:00,28.4
21:20:30,28.2
21:21:00,29.5
21:21:30,28.1
21:22:00,29.3
21:22:30,29.0
21:23:00,29.2
21:23:30,28.7
21:24:00,28.6
21:24:30,28.0
21:25:00,28.5
21:25:30,28.7
21:26:00,27.8
21:26:30,30.0
21:27:00,29.4
21:27:30,28.9
21:28:00,28.9
21:28:30,28.4
21:29:00,28.6
21:29:30,27.8
21:30:00,29.3
21:30:30,29.8
21:31:00,28.2
21:31:30,28.2
21:32:00,28.8
21:32:30,29.1
